temp,weather,windspeed,humidity,atemp,season,holiday,workingday,year,month,day,hour,min,sec,log_count
9.02,1,19.9995,35,10.605,1,0,1,2011,1,3,12,0,0,4.110873864173311
9.84,1,19.0012,35,10.605,1,0,1,2011,1,3,13,0,0,4.110873864173311
10.66,1,19.0012,30,12.12,1,0,1,2011,1,3,14,0,0,4.343805421853684
10.66,1,16.9979,30,12.12,1,0,1,2011,1,3,15,0,0,4.276666119016055
10.66,1,16.9979,30,12.12,1,0,1,2011,1,3,16,0,0,4.330733340286331
9.84,1,15.0013,30,11.365,1,0,1,2011,1,3,17,0,0,5.056245805348308
9.84,1,7.0015,32,12.88,1,0,1,2011,1,3,18,0,0,5.056245805348308
8.2,1,0.0,47,12.88,1,0,1,2011,1,3,19,0,0,4.700480365792417
8.2,1,7.0015,47,11.365,1,0,1,2011,1,3,20,0,0,3.9512437185814275
7.38,1,8.9981,64,9.85,1,0,1,2011,1,3,21,0,0,3.9512437185814275
5.74,1,8.9981,69,7.575,1,0,1,2011,1,3,22,0,0,2.995732273553991
7.38,1,7.0015,55,10.605,1,0,1,2011,1,3,23,0,0,2.4849066497880004
6.56,1,7.0015,55,9.09,1,0,1,2011,1,4,0,0,0,1.6094379124341003
6.56,1,7.0015,59,9.09,1,0,1,2011,1,4,1,0,0,0.6931471805599453
5.74,1,8.9981,63,7.575,1,0,1,2011,1,4,2,0,0,0.0
5.74,1,6.0032,63,9.09,1,0,1,2011,1,4,4,0,0,0.6931471805599453
4.92,1,7.0015,68,7.575,1,0,1,2011,1,4,5,0,0,1.3862943611198906
4.92,1,7.0015,74,7.575,1,0,1,2011,1,4,6,0,0,3.58351893845611
4.92,1,8.9981,74,7.575,1,0,1,2011,1,4,7,0,0,4.543294782270004
5.74,1,11.0014,69,7.575,1,0,1,2011,1,4,8,0,0,5.187385805840755
6.56,1,15.0013,64,7.575,1,0,1,2011,1,4,9,0,0,4.605170185988092
6.56,2,22.0028,69,6.82,1,0,1,2011,1,4,10,0,0,3.7376696182833684
9.02,1,19.9995,51,10.605,1,0,1,2011,1,4,11,0,0,4.04305126783455
9.02,1,11.0014,51,11.365,1,0,1,2011,1,4,12,0,0,4.356708826689592
9.84,1,12.998,56,11.365,1,0,1,2011,1,4,13,0,0,4.574710978503383
10.66,1,15.0013,52,12.88,1,0,1,2011,1,4,14,0,0,4.143134726391533
11.48,1,16.9979,52,13.635,1,0,1,2011,1,4,15,0,0,4.174387269895637
12.3,1,16.9979,49,14.395,1,0,1,2011,1,4,16,0,0,4.418840607796598
11.48,1,15.0013,48,13.635,1,0,1,2011,1,4,17,0,0,5.356586274672012
10.66,1,12.998,48,12.88,1,0,1,2011,1,4,18,0,0,5.204006687076795
9.84,1,7.0015,48,12.88,1,0,1,2011,1,4,19,0,0,4.718498871295094
9.84,1,7.0015,48,12.88,1,0,1,2011,1,4,20,0,0,3.9889840465642745
9.02,1,0.0,64,13.635,1,0,1,2011,1,4,21,0,0,3.871201010907891
9.02,1,6.0032,64,12.88,1,0,1,2011,1,4,22,0,0,3.5553480614894135
8.2,1,6.0032,69,11.365,1,0,1,2011,1,4,23,0,0,2.3978952727983707
8.2,1,0.0,64,12.88,1,0,1,2011,1,5,0,0,0,1.791759469228055
6.56,1,6.0032,74,9.85,1,0,1,2011,1,5,1,0,0,1.791759469228055
6.56,1,6.0032,74,9.85,1,0,1,2011,1,5,2,0,0,0.6931471805599453
9.84,1,15.0013,48,11.365,1,0,1,2011,1,5,4,0,0,0.6931471805599453
9.02,1,11.0014,47,11.365,1,0,1,2011,1,5,5,0,0,1.0986122886681098
8.2,1,15.0013,47,9.85,1,0,1,2011,1,5,6,0,0,3.4965075614664802
7.38,1,12.998,43,9.09,1,0,1,2011,1,5,7,0,0,4.477336814478207
8.2,1,19.9995,40,9.09,1,0,1,2011,1,5,8,0,0,5.272999558563747
9.02,1,22.0028,37,9.85,1,0,1,2011,1,5,9,0,0,4.74493212836325
9.02,1,22.0028,37,9.85,1,0,1,2011,1,5,10,0,0,4.04305126783455
10.66,1,22.0028,33,11.365,1,0,1,2011,1,5,11,0,0,3.828641396489095
10.66,1,22.0028,33,11.365,1,0,1,2011,1,5,12,0,0,4.3694478524670215
11.48,1,19.9995,30,12.88,1,0,1,2011,1,5,13,0,0,4.2626798770413155
12.3,1,12.998,28,14.395,1,0,1,2011,1,5,14,0,0,4.127134385045092
12.3,1,12.998,28,14.395,1,0,1,2011,1,5,15,0,0,4.127134385045092
12.3,1,6.0032,28,15.91,1,0,1,2011,1,5,16,0,0,4.48863636973214
9.84,1,12.998,38,11.365,1,0,1,2011,1,5,17,0,0,5.247024072160486
9.84,1,8.9981,38,12.12,1,0,1,2011,1,5,18,0,0,5.1298987149230735
9.84,1,7.0015,38,12.88,1,0,1,2011,1,5,19,0,0,4.882801922586371
9.02,1,11.0014,47,11.365,1,0,1,2011,1,5,20,0,0,4.48863636973214
8.2,1,12.998,51,9.85,1,0,1,2011,1,5,21,0,0,3.7612001156935624
7.38,1,8.9981,55,9.85,1,0,1,2011,1,5,22,0,0,3.7376696182833684
8.2,1,0.0,47,12.88,1,0,1,2011,1,5,23,0,0,2.9444389791664403
7.38,1,0.0,55,12.12,1,0,1,2011,1,6,0,0,0,2.3978952727983707
6.56,1,0.0,64,11.365,1,0,1,2011,1,6,1,0,0,1.3862943611198906
6.56,1,0.0,64,11.365,1,0,1,2011,1,6,2,0,0,0.6931471805599453
6.56,2,6.0032,64,9.85,1,0,1,2011,1,6,4,0,0,0.0
5.74,2,6.0032,69,9.09,1,0,1,2011,1,6,5,0,0,1.3862943611198906
5.74,2,7.0015,63,8.335,1,0,1,2011,1,6,6,0,0,3.58351893845611
6.56,2,0.0,59,11.365,1,0,1,2011,1,6,7,0,0,4.553876891600541
6.56,1,0.0,59,11.365,1,0,1,2011,1,6,8,0,0,5.389071729816501
7.38,2,0.0,51,12.12,1,0,1,2011,1,6,9,0,0,4.804021044733257
8.2,1,0.0,47,12.88,1,0,1,2011,1,6,10,0,0,3.8066624897703196
9.02,1,6.0032,44,12.88,1,0,1,2011,1,6,11,0,0,4.07753744390572
10.66,1,0.0,35,14.395,1,0,1,2011,1,6,12,0,0,4.430816798843313
10.66,1,7.0015,35,13.635,1,0,1,2011,1,6,13,0,0,4.204692619390966
11.48,1,11.0014,36,13.635,1,0,1,2011,1,6,14,0,0,4.248495242049359
11.48,1,0.0,36,13.635,1,0,1,2011,1,6,15,0,0,4.127134385045092
10.66,1,11.0014,38,12.88,1,0,1,2011,1,6,16,0,0,4.454347296253507
9.02,1,11.0014,51,11.365,1,0,1,2011,1,6,17,0,0,5.147494476813453
9.02,1,8.9981,51,11.365,1,0,1,2011,1,6,18,0,0,5.093750200806762
9.02,1,6.0032,55,12.88,1,0,1,2011,1,6,19,0,0,4.718498871295094
8.2,1,11.0014,51,10.605,1,0,1,2011,1,6,20,0,0,4.23410650459726
9.02,2,15.0013,55,10.605,1,0,1,2011,1,6,21,0,0,3.871201010907891
9.02,2,19.0012,51,10.605,1,0,1,2011,1,6,22,0,0,3.9512437185814275
8.2,2,12.998,59,9.85,1,0,1,2011,1,6,23,0,0,3.1354942159291497
8.2,2,12.998,64,9.85,1,0,1,2011,1,7,0,0,0,2.833213344056216
8.2,2,15.0013,69,9.85,1,0,1,2011,1,7,1,0,0,1.9459101490553132
8.2,2,15.0013,69,9.85,1,0,1,2011,1,7,2,0,0,0.0
8.2,2,8.9981,69,10.605,1,0,1,2011,1,7,4,0,0,0.0
9.02,3,0.0,55,13.635,1,0,1,2011,1,7,5,0,0,1.6094379124341003
8.2,2,0.0,69,12.88,1,0,1,2011,1,7,6,0,0,3.5263605246161616
8.2,1,8.9981,69,10.605,1,0,1,2011,1,7,7,0,0,4.430816798843313
8.2,1,16.9979,51,9.85,1,0,1,2011,1,7,8,0,0,5.3471075307174685
8.2,1,19.9995,47,9.09,1,0,1,2011,1,7,9,0,0,4.897839799950911
9.02,1,22.0028,37,9.85,1,0,1,2011,1,7,10,0,0,4.143134726391533
8.2,2,15.0013,40,9.85,1,0,1,2011,1,7,11,0,0,4.204692619390966
8.2,2,16.9979,37,9.85,1,0,1,2011,1,7,12,0,0,4.07753744390572
8.2,2,19.0012,37,9.09,1,0,1,2011,1,7,13,0,0,4.290459441148391
8.2,2,16.9979,40,9.85,1,0,1,2011,1,7,14,0,0,3.912023005428146
8.2,2,11.0014,37,10.605,1,0,1,2011,1,7,15,0,0,4.276666119016055
8.2,2,11.0014,37,10.605,1,0,1,2011,1,7,16,0,0,4.465908118654584
8.2,2,0.0,37,12.88,1,0,1,2011,1,7,17,0,0,5.231108616854587
8.2,1,6.0032,40,11.365,1,0,1,2011,1,7,18,0,0,4.812184355372417
6.56,1,6.0032,55,9.85,1,0,1,2011,1,7,19,0,0,4.553876891600541
7.38,1,7.0015,47,10.605,1,0,1,2011,1,7,20,0,0,3.9318256327243257
7.38,1,8.9981,47,9.85,1,0,1,2011,1,7,21,0,0,3.6635616461296463
7.38,2,11.0014,43,9.85,1,0,1,2011,1,7,22,0,0,3.58351893845611
7.38,2,11.0014,51,9.85,1,0,1,2011,1,7,23,0,0,2.70805020110221
7.38,2,11.0014,51,9.85,1,0,0,2011,1,8,0,0,0,3.2188758248682006
7.38,2,6.0032,55,10.605,1,0,0,2011,1,8,1,0,0,2.772588722239781
7.38,2,0.0,55,12.12,1,0,0,2011,1,8,2,0,0,2.772588722239781
7.38,3,11.0014,55,9.85,1,0,0,2011,1,8,3,0,0,1.9459101490553132
7.38,3,11.0014,55,9.85,1,0,0,2011,1,8,4,0,0,0.0
6.56,2,11.0014,74,8.335,1,0,0,2011,1,8,5,0,0,1.6094379124341003
6.56,2,11.0014,74,8.335,1,0,0,2011,1,8,6,0,0,0.6931471805599453
6.56,2,7.0015,74,9.09,1,0,0,2011,1,8,7,0,0,2.1972245773362196
6.56,3,7.0015,93,9.09,1,0,0,2011,1,8,8,0,0,2.70805020110221
6.56,3,7.0015,93,9.09,1,0,0,2011,1,8,9,0,0,2.995732273553991
7.38,2,11.0014,80,9.85,1,0,0,2011,1,8,10,0,0,4.110873864173311
8.2,2,26.0027,69,9.09,1,0,0,2011,1,8,11,0,0,4.127134385045092
8.2,2,23.9994,59,9.09,1,0,0,2011,1,8,12,0,0,4.584967478670572
8.2,1,22.0028,44,9.09,1,0,0,2011,1,8,13,0,0,4.624972813284271
8.2,1,32.9975,32,8.335,1,0,0,2011,1,8,14,0,0,4.553876891600541
8.2,1,30.0026,32,8.335,1,0,0,2011,1,8,15,0,0,4.30406509320417
7.38,1,30.0026,29,6.82,1,0,0,2011,1,8,16,0,0,4.330733340286331
6.56,1,36.9974,37,6.06,1,0,0,2011,1,8,17,0,0,4.23410650459726
5.74,1,19.9995,39,6.06,1,0,0,2011,1,8,18,0,0,4.007333185232471
5.74,1,16.9979,36,6.06,1,0,0,2011,1,8,19,0,0,3.4011973816621555
4.92,1,16.9979,36,6.06,1,0,0,2011,1,8,20,0,0,3.332204510175204
4.92,1,23.9994,39,5.305,1,0,0,2011,1,8,21,0,0,3.6109179126442243
4.92,1,26.0027,36,5.305,1,0,0,2011,1,8,22,0,0,3.5263605246161616
4.1,1,30.0026,39,3.03,1,0,0,2011,1,8,23,0,0,3.091042453358316
4.1,1,26.0027,42,3.79,1,0,0,2011,1,9,0,0,0,3.2188758248682006
4.1,1,31.0009,42,3.03,1,0,0,2011,1,9,1,0,0,2.4849066497880004
4.1,1,31.0009,46,3.03,1,0,0,2011,1,9,2,0,0,2.3978952727983707
4.1,1,27.9993,46,3.79,1,0,0,2011,1,9,3,0,0,1.3862943611198906
3.28,1,12.998,53,4.545,1,0,0,2011,1,9,4,0,0,0.0
3.28,1,12.998,53,4.545,1,0,0,2011,1,9,5,0,0,0.0
4.1,1,19.0012,49,4.545,1,0,0,2011,1,9,6,0,0,0.0
3.28,1,12.998,53,4.545,1,0,0,2011,1,9,7,0,0,1.791759469228055
4.1,1,19.0012,49,4.545,1,0,0,2011,1,9,8,0,0,2.302585092994046
4.92,1,35.0008,46,3.79,1,0,0,2011,1,9,9,0,0,2.9444389791664403
5.74,1,26.0027,43,5.305,1,0,0,2011,1,9,10,0,0,3.8918202981106265
6.56,1,35.0008,40,6.06,1,0,0,2011,1,9,11,0,0,3.8918202981106265
7.38,1,30.0026,37,6.82,1,0,0,2011,1,9,12,0,0,4.418840607796598
8.2,1,30.0026,34,8.335,1,0,0,2011,1,9,13,0,0,4.31748811353631
9.02,1,31.0009,32,9.09,1,0,0,2011,1,9,14,0,0,4.276666119016055
9.02,1,23.9994,35,9.85,1,0,0,2011,1,9,15,0,0,4.406719247264253
8.2,1,30.0026,34,8.335,1,0,0,2011,1,9,16,0,0,4.5217885770490405
7.38,1,26.0027,37,7.575,1,0,0,2011,1,9,17,0,0,4.127134385045092
6.56,1,22.0028,40,6.82,1,0,0,2011,1,9,18,0,0,3.871201010907891
6.56,1,22.0028,43,6.82,1,0,0,2011,1,9,19,0,0,3.713572066704308
5.74,1,16.9979,46,6.06,1,0,0,2011,1,9,20,0,0,3.6375861597263857
5.74,1,27.9993,46,5.305,1,0,0,2011,1,9,21,0,0,2.995732273553991
5.74,1,19.9995,46,6.06,1,0,0,2011,1,9,22,0,0,2.70805020110221
4.92,1,12.998,50,6.82,1,0,0,2011,1,9,23,0,0,1.791759469228055
4.92,1,19.0012,50,6.06,1,0,1,2011,1,10,0,0,0,1.6094379124341003
4.92,1,19.0012,50,6.06,1,0,1,2011,1,10,1,0,0,0.0
4.92,1,15.0013,50,6.06,1,0,1,2011,1,10,2,0,0,1.0986122886681098
4.92,1,15.0013,50,6.06,1,0,1,2011,1,10,3,0,0,0.0
4.1,1,8.9981,54,6.06,1,0,1,2011,1,10,4,0,0,1.0986122886681098
4.1,1,16.9979,54,5.305,1,0,1,2011,1,10,5,0,0,1.0986122886681098
4.92,1,19.0012,50,6.06,1,0,1,2011,1,10,6,0,0,3.4339872044851463
4.92,1,15.0013,50,6.06,1,0,1,2011,1,10,7,0,0,4.343805421853684
4.92,2,19.0012,50,6.06,1,0,1,2011,1,10,8,0,0,5.236441962829949
5.74,2,16.9979,50,6.06,1,0,1,2011,1,10,9,0,0,4.543294782270004
5.74,2,19.9995,50,6.06,1,0,1,2011,1,10,10,0,0,3.4339872044851463
6.56,2,19.0012,47,6.82,1,0,1,2011,1,10,11,0,0,3.4011973816621555
8.2,2,19.0012,40,9.09,1,0,1,2011,1,10,12,0,0,3.9512437185814275
8.2,2,19.0012,40,9.09,1,0,1,2011,1,10,13,0,0,3.9889840465642745
8.2,2,15.0013,40,9.85,1,0,1,2011,1,10,14,0,0,3.8501476017100584
8.2,2,15.0013,40,9.85,1,0,1,2011,1,10,15,0,0,3.8066624897703196
8.2,1,8.9981,40,10.605,1,0,1,2011,1,10,16,0,0,4.30406509320417
8.2,1,7.0015,40,11.365,1,0,1,2011,1,10,17,0,0,5.181783550292085
8.2,1,15.0013,40,9.85,1,0,1,2011,1,10,18,0,0,5.043425116919247
6.56,1,11.0014,47,8.335,1,0,1,2011,1,10,19,0,0,4.553876891600541
6.56,1,11.0014,50,8.335,1,0,1,2011,1,10,20,0,0,4.30406509320417
5.74,1,12.998,59,6.82,1,0,1,2011,1,10,21,0,0,3.6375861597263857
5.74,1,11.0014,59,7.575,1,0,1,2011,1,10,22,0,0,3.1780538303479458
5.74,1,11.0014,59,7.575,1,0,1,2011,1,10,23,0,0,2.8903717578961645
5.74,1,7.0015,59,8.335,1,0,1,2011,1,11,0,0,0,2.4849066497880004
5.74,1,11.0014,59,7.575,1,0,1,2011,1,11,1,0,0,1.0986122886681098
6.56,2,12.998,55,7.575,1,0,1,2011,1,11,2,0,0,1.0986122886681098
6.56,2,8.9981,55,9.09,1,0,1,2011,1,11,5,0,0,1.791759469228055
6.56,2,8.9981,55,9.09,1,0,1,2011,1,11,6,0,0,3.295836866004329
6.56,2,0.0,55,11.365,1,0,1,2011,1,11,7,0,0,4.59511985013459
7.38,2,6.0032,51,10.605,1,0,1,2011,1,11,8,0,0,5.37989735354046
7.38,2,11.0014,51,9.85,1,0,1,2011,1,11,9,0,0,4.867534450455582
8.2,2,11.0014,51,10.605,1,0,1,2011,1,11,10,0,0,3.9889840465642745
8.2,2,8.9981,47,10.605,1,0,1,2011,1,11,11,0,0,3.5553480614894135
8.2,2,7.0015,51,11.365,1,0,1,2011,1,11,12,0,0,4.04305126783455
8.2,2,6.0032,59,11.365,1,0,1,2011,1,11,13,0,0,3.9512437185814275
8.2,2,6.0032,59,11.365,1,0,1,2011,1,11,14,0,0,4.143134726391533
6.56,2,6.0032,80,9.85,1,0,1,2011,1,11,15,0,0,3.8501476017100584
6.56,2,15.0013,86,7.575,1,0,1,2011,1,11,16,0,0,4.330733340286331
6.56,2,15.0013,86,7.575,1,0,1,2011,1,11,17,0,0,4.912654885736052
6.56,3,7.0015,93,9.09,1,0,1,2011,1,11,18,0,0,4.553876891600541
6.56,3,0.0,93,11.365,1,0,1,2011,1,11,19,0,0,3.9318256327243257
6.56,3,12.998,93,7.575,1,0,1,2011,1,11,20,0,0,3.4657359027997265
6.56,3,6.0032,86,9.85,1,0,1,2011,1,11,21,0,0,2.995732273553991
6.56,3,7.0015,93,9.09,1,0,1,2011,1,11,22,0,0,3.367295829986474
6.56,3,6.0032,93,9.85,1,0,1,2011,1,11,23,0,0,2.9444389791664403
6.56,2,6.0032,86,9.85,1,0,1,2011,1,12,0,0,0,1.9459101490553132
6.56,2,7.0015,86,9.09,1,0,1,2011,1,12,1,0,0,1.791759469228055
5.74,1,8.9981,86,7.575,1,0,1,2011,1,12,2,0,0,0.0
5.74,1,11.0014,86,7.575,1,0,1,2011,1,12,5,0,0,1.6094379124341003
4.92,1,8.9981,93,7.575,1,0,1,2011,1,12,6,0,0,2.772588722239781
5.74,1,8.9981,69,7.575,1,0,1,2011,1,12,7,0,0,3.9889840465642745
6.56,1,11.0014,59,8.335,1,0,1,2011,1,12,8,0,0,4.852030263919617
6.56,1,22.0028,59,6.82,1,0,1,2011,1,12,9,0,0,4.394449154672439
7.38,1,15.0013,55,9.09,1,0,1,2011,1,12,10,0,0,3.6635616461296463
8.2,1,26.0027,51,9.09,1,0,1,2011,1,12,11,0,0,3.5553480614894135
8.2,1,39.0007,47,7.575,1,0,1,2011,1,12,12,0,0,4.007333185232471
9.02,1,23.9994,44,9.85,1,0,1,2011,1,12,13,0,0,3.8918202981106265
8.2,1,22.0028,47,9.09,1,0,1,2011,1,12,14,0,0,3.784189633918261
8.2,1,27.9993,47,8.335,1,0,1,2011,1,12,15,0,0,3.8918202981106265
9.02,1,22.0028,44,9.85,1,0,1,2011,1,12,16,0,0,4.219507705176107
8.2,1,23.9994,47,9.09,1,0,1,2011,1,12,17,0,0,4.9344739331306915
8.2,1,35.0008,47,7.575,1,0,1,2011,1,12,18,0,0,4.919980925828125
7.38,1,27.9993,47,7.575,1,0,1,2011,1,12,19,0,0,4.418840607796598
6.56,1,22.0028,50,6.82,1,0,1,2011,1,12,20,0,0,4.02535169073515
6.56,1,22.0028,55,6.82,1,0,1,2011,1,12,21,0,0,4.04305126783455
6.56,1,30.0026,55,6.06,1,0,1,2011,1,12,22,0,0,3.4965075614664802
5.74,1,27.9993,59,5.305,1,0,1,2011,1,12,23,0,0,2.995732273553991
5.74,1,19.0012,59,6.06,1,0,1,2011,1,13,0,0,0,1.9459101490553132
5.74,1,19.0012,50,6.06,1,0,1,2011,1,13,1,0,0,0.6931471805599453
5.74,1,23.9994,50,6.06,1,0,1,2011,1,13,2,0,0,0.6931471805599453
5.74,1,22.0028,50,6.06,1,0,1,2011,1,13,3,0,0,1.0986122886681098
5.74,1,16.9979,50,6.06,1,0,1,2011,1,13,4,0,0,1.3862943611198906
5.74,1,19.9995,50,6.06,1,0,1,2011,1,13,5,0,0,1.0986122886681098
4.92,1,8.9981,54,7.575,1,0,1,2011,1,13,6,0,0,3.332204510175204
4.92,1,8.9981,54,7.575,1,0,1,2011,1,13,7,0,0,4.276666119016055
5.74,1,12.998,50,6.82,1,0,1,2011,1,13,8,0,0,5.308267697401205
5.74,1,22.0028,50,6.06,1,0,1,2011,1,13,9,0,0,4.9344739331306915
6.56,2,23.9994,50,6.82,1,0,1,2011,1,13,10,0,0,3.6375861597263857
8.2,2,30.0026,44,8.335,1,0,1,2011,1,13,11,0,0,3.6109179126442243
8.2,1,27.9993,44,8.335,1,0,1,2011,1,13,12,0,0,3.9512437185814275
9.02,1,30.0026,41,9.85,1,0,1,2011,1,13,13,0,0,4.418840607796598
9.02,1,26.0027,41,9.85,1,0,1,2011,1,13,14,0,0,3.7376696182833684
9.84,1,19.9995,38,10.605,1,0,1,2011,1,13,15,0,0,4.0943445622221
9.84,1,23.9994,38,10.605,1,0,1,2011,1,13,16,0,0,4.356708826689592
8.2,1,19.0012,40,9.09,1,0,1,2011,1,13,17,0,0,5.087596335232384
8.2,1,22.0028,40,9.09,1,0,1,2011,1,13,18,0,0,4.969813299576001
6.56,1,16.9979,47,7.575,1,0,1,2011,1,13,19,0,0,4.59511985013459
6.56,1,15.0013,47,7.575,1,0,1,2011,1,13,20,0,0,4.1588830833596715
5.74,1,19.9995,46,6.06,1,0,1,2011,1,13,21,0,0,3.6888794541139363
5.74,1,22.0028,46,6.06,1,0,1,2011,1,13,22,0,0,3.4011973816621555
4.92,1,12.998,50,6.82,1,0,1,2011,1,13,23,0,0,2.70805020110221
4.92,1,12.998,50,6.82,1,0,1,2011,1,14,0,0,0,2.6390573296152584
4.1,1,11.0014,54,6.06,1,0,1,2011,1,14,1,0,0,1.6094379124341003
4.1,1,8.9981,54,6.06,1,0,1,2011,1,14,2,0,0,0.0
4.1,1,7.0015,54,6.82,1,0,1,2011,1,14,3,0,0,0.0
4.1,1,6.0032,54,6.82,1,0,1,2011,1,14,5,0,0,2.0794415416798357
4.1,1,0.0,54,9.09,1,0,1,2011,1,14,6,0,0,2.833213344056216
4.1,1,11.0014,74,6.06,1,0,1,2011,1,14,7,0,0,4.248495242049359
4.92,1,0.0,68,8.335,1,0,1,2011,1,14,8,0,0,5.062595033026967
5.74,1,8.9981,69,7.575,1,0,1,2011,1,14,9,0,0,4.762173934797756
7.38,1,12.998,55,9.09,1,0,1,2011,1,14,10,0,0,3.784189633918261
7.38,1,19.0012,51,8.335,1,0,1,2011,1,14,11,0,0,3.970291913552122
8.2,1,16.9979,44,9.85,1,0,1,2011,1,14,12,0,0,4.110873864173311
9.02,1,26.0027,37,9.85,1,0,1,2011,1,14,13,0,0,4.343805421853684
9.02,1,19.0012,41,10.605,1,0,1,2011,1,14,14,0,0,4.1588830833596715
