temp,weather,windspeed,humidity,season,count,year,month,hour
5.74,1,12.998,50,1,64,2011,1,7
5.74,1,19.0012,50,1,154,2011,1,8
6.56,1,26.0027,43,1,88,2011,1,9
7.38,1,16.9979,43,1,44,2011,1,10
8.2,1,22.0028,40,1,51,2011,1,11
9.02,1,19.9995,35,1,61,2011,1,12
9.84,1,19.0012,35,1,61,2011,1,13
10.66,1,19.0012,30,1,77,2011,1,14
10.66,1,16.9979,30,1,72,2011,1,15
10.66,1,16.9979,30,1,76,2011,1,16
9.84,1,15.0013,30,1,157,2011,1,17
9.84,1,7.0015,32,1,157,2011,1,18
8.2,1,8.9981,47,1,110,2011,1,19
8.2,1,7.0015,47,1,52,2011,1,20
7.38,1,8.9981,64,1,52,2011,1,21
5.74,1,8.9981,69,1,20,2011,1,22
7.38,1,7.0015,55,1,12,2011,1,23
6.56,1,7.0015,55,1,5,2011,1,0
6.56,1,7.0015,59,1,2,2011,1,1
5.74,1,8.9981,63,1,1,2011,1,2
5.74,1,6.0032,63,1,2,2011,1,4
4.92,1,7.0015,68,1,4,2011,1,5
4.92,1,7.0015,74,1,36,2011,1,6
4.92,1,8.9981,74,1,94,2011,1,7
5.74,1,11.0014,69,1,179,2011,1,8
6.56,1,15.0013,64,1,100,2011,1,9
6.56,2,22.0028,69,1,42,2011,1,10
9.02,1,19.9995,51,1,57,2011,1,11
9.02,1,11.0014,51,1,78,2011,1,12
9.84,1,12.998,56,1,97,2011,1,13
10.66,1,15.0013,52,1,63,2011,1,14
11.48,1,16.9979,52,1,65,2011,1,15
12.3,1,16.9979,49,1,83,2011,1,16
11.48,1,15.0013,48,1,212,2011,1,17
10.66,1,12.998,48,1,182,2011,1,18
9.84,1,7.0015,48,1,112,2011,1,19
9.84,1,7.0015,48,1,54,2011,1,20
9.02,1,8.9981,64,1,48,2011,1,21
9.02,1,6.0032,64,1,35,2011,1,22
8.2,1,6.0032,69,1,11,2011,1,23
8.2,1,8.9981,64,1,6,2011,1,0
6.56,1,6.0032,74,1,6,2011,1,1
6.56,1,6.0032,74,1,2,2011,1,2
9.84,1,15.0013,48,1,2,2011,1,4
9.02,1,11.0014,47,1,3,2011,1,5
8.2,1,15.0013,47,1,33,2011,1,6
7.38,1,12.998,43,1,88,2011,1,7
8.2,1,19.9995,40,1,195,2011,1,8
9.02,1,22.0028,37,1,115,2011,1,9
9.02,1,22.0028,37,1,57,2011,1,10
10.66,1,22.0028,33,1,46,2011,1,11
10.66,1,22.0028,33,1,79,2011,1,12
11.48,1,19.9995,30,1,71,2011,1,13
12.3,1,12.998,28,1,62,2011,1,14
12.3,1,12.998,28,1,62,2011,1,15
12.3,1,6.0032,28,1,89,2011,1,16
9.84,1,12.998,38,1,190,2011,1,17
9.84,1,8.9981,38,1,169,2011,1,18
9.84,1,7.0015,38,1,132,2011,1,19
9.02,1,11.0014,47,1,89,2011,1,20
8.2,1,12.998,51,1,43,2011,1,21
7.38,1,8.9981,55,1,42,2011,1,22
8.2,1,8.9981,47,1,19,2011,1,23
7.38,1,8.9981,55,1,11,2011,1,0
6.56,1,8.9981,64,1,4,2011,1,1
6.56,1,8.9981,64,1,2,2011,1,2
6.56,2,6.0032,64,1,1,2011,1,4
5.74,2,6.0032,69,1,4,2011,1,5
5.74,2,7.0015,63,1,36,2011,1,6
6.56,2,8.9981,59,1,95,2011,1,7
6.56,1,8.9981,59,1,219,2011,1,8
7.38,2,8.9981,51,1,122,2011,1,9
8.2,1,8.9981,47,1,45,2011,1,10
9.02,1,6.0032,44,1,59,2011,1,11
10.66,1,8.9981,35,1,84,2011,1,12
10.66,1,7.0015,35,1,67,2011,1,13
11.48,1,11.0014,36,1,70,2011,1,14
11.48,1,8.9981,36,1,62,2011,1,15
10.66,1,11.0014,38,1,86,2011,1,16
9.02,1,11.0014,51,1,172,2011,1,17
9.02,1,8.9981,51,1,163,2011,1,18
9.02,1,6.0032,55,1,112,2011,1,19
8.2,1,11.0014,51,1,69,2011,1,20
9.02,2,15.0013,55,1,48,2011,1,21
9.02,2,19.0012,51,1,52,2011,1,22
8.2,2,12.998,59,1,23,2011,1,23
8.2,2,12.998,64,1,17,2011,1,0
8.2,2,15.0013,69,1,7,2011,1,1
8.2,2,15.0013,69,1,1,2011,1,2
8.2,2,8.9981,69,1,1,2011,1,4
9.02,3,8.9981,55,1,5,2011,1,5
8.2,2,8.9981,69,1,34,2011,1,6
8.2,1,8.9981,69,1,84,2011,1,7
8.2,1,16.9979,51,1,210,2011,1,8
8.2,1,19.9995,47,1,134,2011,1,9
9.02,1,22.0028,37,1,63,2011,1,10
8.2,2,15.0013,40,1,67,2011,1,11
8.2,2,16.9979,37,1,59,2011,1,12
8.2,2,19.0012,37,1,73,2011,1,13
8.2,2,16.9979,40,1,50,2011,1,14
8.2,2,11.0014,37,1,72,2011,1,15
8.2,2,11.0014,37,1,87,2011,1,16
8.2,2,8.9981,37,1,187,2011,1,17
8.2,1,6.0032,40,1,123,2011,1,18
6.56,1,6.0032,55,1,95,2011,1,19
7.38,1,7.0015,47,1,51,2011,1,20
7.38,1,8.9981,47,1,39,2011,1,21
7.38,2,11.0014,43,1,36,2011,1,22
7.38,2,11.0014,51,1,15,2011,1,23
7.38,2,11.0014,51,1,25,2011,1,0
7.38,2,6.0032,55,1,16,2011,1,1
7.38,2,8.9981,55,1,16,2011,1,2
7.38,3,11.0014,55,1,7,2011,1,3
7.38,3,11.0014,55,1,1,2011,1,4
6.56,2,11.0014,74,1,5,2011,1,5
6.56,2,11.0014,74,1,2,2011,1,6
6.56,2,7.0015,74,1,9,2011,1,7
6.56,3,7.0015,93,1,15,2011,1,8
6.56,3,7.0015,93,1,20,2011,1,9
7.38,2,11.0014,80,1,61,2011,1,10
8.2,2,26.0027,69,1,62,2011,1,11
8.2,2,23.9994,59,1,98,2011,1,12
8.2,1,22.0028,44,1,102,2011,1,13
8.2,1,32.9975,32,1,95,2011,1,14
8.2,1,30.0026,32,1,74,2011,1,15
7.38,1,30.0026,29,1,76,2011,1,16
6.56,1,36.9974,37,1,69,2011,1,17
5.74,1,19.9995,39,1,55,2011,1,18
5.74,1,16.9979,36,1,30,2011,1,19
4.92,1,16.9979,36,1,28,2011,1,20
4.92,1,23.9994,39,1,37,2011,1,21
4.92,1,26.0027,36,1,34,2011,1,22
4.1,1,30.0026,39,1,22,2011,1,23
4.1,1,26.0027,42,1,25,2011,1,0
4.1,1,31.0009,42,1,12,2011,1,1
4.1,1,31.0009,46,1,11,2011,1,2
4.1,1,27.9993,46,1,4,2011,1,3
3.28,1,12.998,53,1,1,2011,1,4
3.28,1,12.998,53,1,1,2011,1,5
4.1,1,19.0012,49,1,1,2011,1,6
3.28,1,12.998,53,1,6,2011,1,7
4.1,1,19.0012,49,1,10,2011,1,8
4.92,1,35.0008,46,1,19,2011,1,9
5.74,1,26.0027,43,1,49,2011,1,10
6.56,1,35.0008,40,1,49,2011,1,11
7.38,1,30.0026,37,1,83,2011,1,12
8.2,1,30.0026,34,1,75,2011,1,13
9.02,1,31.0009,32,1,72,2011,1,14
9.02,1,23.9994,35,1,82,2011,1,15
8.2,1,30.0026,34,1,92,2011,1,16
7.38,1,26.0027,37,1,62,2011,1,17
6.56,1,22.0028,40,1,48,2011,1,18
6.56,1,22.0028,43,1,41,2011,1,19
5.74,1,16.9979,46,1,38,2011,1,20
5.74,1,27.9993,46,1,20,2011,1,21
5.74,1,19.9995,46,1,15,2011,1,22
4.92,1,12.998,50,1,6,2011,1,23
4.92,1,19.0012,50,1,5,2011,1,0
4.92,1,19.0012,50,1,1,2011,1,1
4.92,1,15.0013,50,1,3,2011,1,2
4.92,1,15.0013,50,1,1,2011,1,3
4.1,1,8.9981,54,1,3,2011,1,4
4.1,1,16.9979,54,1,3,2011,1,5
4.92,1,19.0012,50,1,31,2011,1,6
4.92,1,15.0013,50,1,77,2011,1,7
4.92,2,19.0012,50,1,188,2011,1,8
5.74,2,16.9979,50,1,94,2011,1,9
5.74,2,19.9995,50,1,31,2011,1,10
6.56,2,19.0012,47,1,30,2011,1,11
8.2,2,19.0012,40,1,52,2011,1,12
8.2,2,19.0012,40,1,54,2011,1,13
8.2,2,15.0013,40,1,47,2011,1,14
8.2,2,15.0013,40,1,45,2011,1,15
8.2,1,8.9981,40,1,74,2011,1,16
8.2,1,7.0015,40,1,178,2011,1,17
8.2,1,15.0013,40,1,155,2011,1,18
6.56,1,11.0014,47,1,95,2011,1,19
6.56,1,11.0014,50,1,74,2011,1,20
5.74,1,12.998,59,1,38,2011,1,21
5.74,1,11.0014,59,1,24,2011,1,22
5.74,1,11.0014,59,1,18,2011,1,23
5.74,1,7.0015,59,1,12,2011,1,0
5.74,1,11.0014,59,1,3,2011,1,1
6.56,2,12.998,55,1,3,2011,1,2
6.56,2,8.9981,55,1,6,2011,1,5
6.56,2,8.9981,55,1,27,2011,1,6
6.56,2,8.9981,55,1,99,2011,1,7
7.38,2,6.0032,51,1,217,2011,1,8
7.38,2,11.0014,51,1,130,2011,1,9
8.2,2,11.0014,51,1,54,2011,1,10
8.2,2,8.9981,47,1,35,2011,1,11
8.2,2,7.0015,51,1,57,2011,1,12
8.2,2,6.0032,59,1,52,2011,1,13
8.2,2,6.0032,59,1,63,2011,1,14
6.56,2,6.0032,80,1,47,2011,1,15
6.56,2,15.0013,86,1,76,2011,1,16
6.56,2,15.0013,86,1,136,2011,1,17
6.56,3,7.0015,93,1,95,2011,1,18
6.56,3,8.9981,93,1,51,2011,1,19
6.56,3,12.998,93,1,32,2011,1,20
6.56,3,6.0032,86,1,20,2011,1,21
6.56,3,7.0015,93,1,29,2011,1,22
6.56,3,6.0032,93,1,19,2011,1,23
6.56,2,6.0032,86,1,7,2011,1,0
6.56,2,7.0015,86,1,6,2011,1,1
5.74,1,8.9981,86,1,1,2011,1,2
5.74,1,11.0014,86,1,5,2011,1,5
4.92,1,8.9981,93,1,16,2011,1,6
5.74,1,8.9981,69,1,54,2011,1,7
6.56,1,11.0014,59,1,128,2011,1,8
6.56,1,22.0028,59,1,81,2011,1,9
7.38,1,15.0013,55,1,39,2011,1,10
8.2,1,26.0027,51,1,35,2011,1,11
8.2,1,39.0007,47,1,55,2011,1,12
9.02,1,23.9994,44,1,49,2011,1,13
8.2,1,22.0028,47,1,44,2011,1,14
8.2,1,27.9993,47,1,49,2011,1,15
9.02,1,22.0028,44,1,68,2011,1,16
8.2,1,23.9994,47,1,139,2011,1,17
8.2,1,35.0008,47,1,137,2011,1,18
7.38,1,27.9993,47,1,83,2011,1,19
6.56,1,22.0028,50,1,56,2011,1,20
6.56,1,22.0028,55,1,57,2011,1,21
6.56,1,30.0026,55,1,33,2011,1,22
5.74,1,27.9993,59,1,20,2011,1,23
5.74,1,19.0012,59,1,7,2011,1,0
5.74,1,19.0012,50,1,2,2011,1,1
5.74,1,23.9994,50,1,2,2011,1,2
5.74,1,22.0028,50,1,3,2011,1,3
5.74,1,16.9979,50,1,4,2011,1,4
5.74,1,19.9995,50,1,3,2011,1,5
4.92,1,8.9981,54,1,28,2011,1,6
4.92,1,8.9981,54,1,72,2011,1,7
5.74,1,12.998,50,1,202,2011,1,8
5.74,1,22.0028,50,1,139,2011,1,9
6.56,2,23.9994,50,1,38,2011,1,10
8.2,2,30.0026,44,1,37,2011,1,11
8.2,1,27.9993,44,1,52,2011,1,12
9.02,1,30.0026,41,1,83,2011,1,13
9.02,1,26.0027,41,1,42,2011,1,14
9.84,1,19.9995,38,1,60,2011,1,15
9.84,1,23.9994,38,1,78,2011,1,16
8.2,1,19.0012,40,1,162,2011,1,17
8.2,1,22.0028,40,1,144,2011,1,18
6.56,1,16.9979,47,1,99,2011,1,19
6.56,1,15.0013,47,1,64,2011,1,20
5.74,1,19.9995,46,1,40,2011,1,21
5.74,1,22.0028,46,1,30,2011,1,22
4.92,1,12.998,50,1,15,2011,1,23
4.92,1,12.998,50,1,14,2011,1,0
4.1,1,11.0014,54,1,5,2011,1,1
4.1,1,8.9981,54,1,1,2011,1,2
4.1,1,7.0015,54,1,1,2011,1,3
4.1,1,6.0032,54,1,8,2011,1,5
4.1,1,8.9981,54,1,17,2011,1,6
4.1,1,11.0014,74,1,70,2011,1,7
4.92,1,8.9981,68,1,158,2011,1,8
5.74,1,8.9981,69,1,117,2011,1,9
7.38,1,12.998,55,1,44,2011,1,10
7.38,1,19.0012,51,1,53,2011,1,11
8.2,1,16.9979,44,1,61,2011,1,12
9.02,1,26.0027,37,1,77,2011,1,13
9.02,1,19.0012,41,1,64,2011,1,14
9.84,1,11.0014,38,1,68,2011,1,15
9.02,1,7.0015,41,1,90,2011,1,16
9.02,1,11.0014,41,1,159,2011,1,17
8.2,1,8.9981,47,1,139,2011,1,18
6.56,1,6.0032,59,1,92,2011,1,19
7.38,1,8.9981,59,1,68,2011,1,20
6.56,1,8.9981,69,1,52,2011,1,21
6.56,2,8.9981,69,1,36,2011,1,22
7.38,2,8.9981,55,1,27,2011,1,23
7.38,1,8.9981,55,1,28,2011,1,0
6.56,2,6.0032,59,1,20,2011,1,1
6.56,2,6.0032,59,1,12,2011,1,2
6.56,2,8.9981,59,1,8,2011,1,3
6.56,2,8.9981,59,1,5,2011,1,4
6.56,1,8.9981,59,1,1,2011,1,5
5.74,1,7.0015,63,1,3,2011,1,6
5.74,1,8.9981,63,1,10,2011,1,7
5.74,1,8.9981,63,1,23,2011,1,8
6.56,1,8.9981,64,1,33,2011,1,9
7.38,1,11.0014,59,1,59,2011,1,10
8.2,1,15.0013,55,1,72,2011,1,11
9.84,1,15.0013,48,1,89,2011,1,12
11.48,1,19.9995,38,1,101,2011,1,13
12.3,1,19.0012,39,1,118,2011,1,14
13.12,2,12.998,36,1,129,2011,1,15
13.94,2,12.998,34,1,128,2011,1,16
13.12,2,19.0012,36,1,83,2011,1,17
12.3,2,16.9979,45,1,84,2011,1,18
13.12,2,16.9979,39,1,74,2011,1,19
13.12,2,16.9979,39,1,41,2011,1,20
13.12,2,15.0013,39,1,57,2011,1,21
12.3,2,7.0015,42,1,26,2011,1,22
12.3,1,19.0012,45,1,44,2011,1,23
10.66,1,8.9981,56,1,39,2011,1,0
10.66,1,8.9981,56,1,23,2011,1,1
10.66,1,6.0032,56,1,16,2011,1,2
9.02,1,8.9981,69,1,15,2011,1,3
10.66,1,11.0014,56,1,1,2011,1,4
10.66,2,11.0014,56,1,2,2011,1,5
10.66,2,11.0014,56,1,1,2011,1,6
9.84,2,19.9995,56,1,3,2011,1,7
9.02,1,19.0012,55,1,18,2011,1,8
9.02,1,16.9979,51,1,32,2011,1,9
9.02,1,19.0012,51,1,79,2011,1,10
9.84,1,16.9979,44,1,93,2011,1,11
9.84,1,19.0012,41,1,104,2011,1,12
10.66,1,19.9995,35,1,118,2011,1,13
11.48,1,16.9979,36,1,91,2011,1,14
10.66,1,16.9979,38,1,113,2011,1,15
9.84,1,15.0013,38,1,99,2011,1,16
9.02,1,16.9979,37,1,105,2011,1,17
8.2,1,11.0014,40,1,67,2011,1,18
7.38,1,8.9981,47,1,61,2011,1,19
7.38,1,11.0014,47,1,57,2011,1,20
7.38,1,11.0014,51,1,28,2011,1,21
8.2,2,8.9981,49,1,21,2011,1,22
8.2,2,7.0015,40,1,18,2011,1,23
8.2,2,15.0013,47,1,17,2011,1,0
8.2,2,12.998,44,1,16,2011,1,1
7.38,2,16.9979,43,1,8,2011,1,2
7.38,2,12.998,43,1,2,2011,1,3
7.38,2,8.9981,43,1,3,2011,1,4
7.38,2,11.0014,43,1,1,2011,1,5
7.38,2,12.998,43,1,5,2011,1,6
6.56,2,8.9981,50,1,13,2011,1,7
6.56,2,15.0013,47,1,33,2011,1,8
6.56,2,15.0013,47,1,47,2011,1,9
6.56,2,16.9979,50,1,57,2011,1,10
6.56,2,12.998,55,1,64,2011,1,11
7.38,2,8.9981,47,1,80,2011,1,12
7.38,2,8.9981,47,1,93,2011,1,13
7.38,2,7.0015,43,1,86,2011,1,14
8.2,2,11.0014,47,1,93,2011,1,15
8.2,2,11.0014,47,1,82,2011,1,16
8.2,1,12.998,51,1,71,2011,1,17
7.38,2,16.9979,55,1,92,2011,1,18
7.38,3,12.998,59,1,60,2011,1,19
6.56,3,12.998,80,1,33,2011,1,20
6.56,3,12.998,80,1,27,2011,1,21
5.74,3,16.9979,93,1,13,2011,1,22
6.56,3,19.0012,86,1,4,2011,1,23
8.2,2,22.0028,86,1,3,2011,1,12
8.2,2,15.0013,86,1,22,2011,1,13
9.02,2,11.0014,80,1,28,2011,1,14
9.02,2,11.0014,87,1,35,2011,1,15
9.02,2,12.998,87,1,61,2011,1,16
9.02,2,12.998,82,1,125,2011,1,17
9.02,2,11.0014,80,1,133,2011,1,18
9.02,2,8.9981,80,1,99,2011,1,19
9.02,2,8.9981,87,1,83,2011,1,20
9.02,2,7.0015,93,1,41,2011,1,21
9.02,2,6.0032,93,1,33,2011,1,22
9.02,2,8.9981,93,1,20,2011,1,23
9.02,2,8.9981,93,1,3,2011,1,0
9.02,3,8.9981,93,1,7,2011,1,1
9.02,3,8.9981,93,1,3,2011,1,2
9.02,3,8.9981,93,1,2,2011,1,4
9.02,2,6.0032,93,1,7,2011,1,5
9.02,2,6.0032,93,1,32,2011,1,6
9.84,2,7.0015,92,1,90,2011,1,7
9.84,2,7.0015,93,1,197,2011,1,8
9.84,2,7.0015,93,1,109,2011,1,9
10.66,2,8.9981,93,1,47,2011,1,10
11.48,2,6.0032,87,1,52,2011,1,11
12.3,2,6.0032,81,1,70,2011,1,12
16.4,1,19.0012,62,1,78,2011,1,13
16.4,1,16.9979,58,1,75,2011,1,14
16.4,1,19.0012,54,1,82,2011,1,15
15.58,1,26.0027,58,1,104,2011,1,16
14.76,1,22.0028,57,1,197,2011,1,17
13.94,1,19.0012,61,1,161,2011,1,18
13.12,1,27.9993,57,1,112,2011,1,19
13.12,1,19.9995,49,1,76,2011,1,20
13.12,1,27.9993,49,1,59,2011,1,21
12.3,1,11.0014,52,1,59,2011,1,22
12.3,1,31.0009,52,1,28,2011,1,23
6.56,2,7.0015,64,1,8,2011,2,0
6.56,2,7.0015,69,1,3,2011,2,1
6.56,2,8.9981,69,1,2,2011,2,2
6.56,2,8.9981,69,1,2,2011,2,3
5.74,3,8.9981,93,1,3,2011,2,5
5.74,3,8.9981,93,1,22,2011,2,6
6.56,3,8.9981,93,1,52,2011,2,7
6.56,3,8.9981,93,1,135,2011,2,8
6.56,2,8.9981,93,1,116,2011,2,9
6.56,2,8.9981,93,1,47,2011,2,10
7.38,2,8.9981,86,1,51,2011,2,11
8.2,2,8.9981,86,1,55,2011,2,12
8.2,2,8.9981,86,1,52,2011,2,13
9.02,2,6.0032,80,1,54,2011,2,14
9.84,2,8.9981,75,1,52,2011,2,15
9.84,2,8.9981,75,1,64,2011,2,16
9.84,2,8.9981,75,1,176,2011,2,17
9.84,2,7.0015,81,1,168,2011,2,18
9.84,2,8.9981,81,1,108,2011,2,19
9.02,2,8.9981,87,1,74,2011,2,20
9.02,2,8.9981,87,1,64,2011,2,21
9.02,2,6.0032,87,1,36,2011,2,22
8.2,3,12.998,93,1,16,2011,2,23
9.02,3,7.0015,93,1,2,2011,2,0
9.02,3,12.998,93,1,3,2011,2,1
9.02,3,8.9981,93,1,4,2011,2,2
9.02,3,8.9981,93,1,1,2011,2,3
9.02,3,19.0012,93,1,1,2011,2,4
9.02,3,7.0015,93,1,3,2011,2,5
9.02,3,7.0015,93,1,18,2011,2,6
9.02,3,15.0013,93,1,49,2011,2,7
9.02,3,15.0013,93,1,155,2011,2,8
9.84,2,6.0032,93,1,123,2011,2,9
9.02,2,8.9981,100,1,61,2011,2,10
9.84,2,12.998,93,1,52,2011,2,11
9.84,2,15.0013,93,1,64,2011,2,12
13.94,1,11.0014,93,1,75,2011,2,13
15.58,1,26.0027,82,1,63,2011,2,14
15.58,1,22.0028,76,1,76,2011,2,15
14.76,1,19.9995,71,1,103,2011,2,16
14.76,1,35.0008,53,1,190,2011,2,17
13.94,1,36.9974,42,1,182,2011,2,18
11.48,1,32.9975,45,1,91,2011,2,19
9.84,1,36.9974,48,1,75,2011,2,20
9.02,1,22.0028,47,1,63,2011,2,21
9.02,1,16.9979,44,1,40,2011,2,22
8.2,1,30.0026,44,1,32,2011,2,23
8.2,1,30.0026,40,1,12,2011,2,0
8.2,1,35.0008,44,1,5,2011,2,1
7.38,1,16.9979,43,1,2,2011,2,2
7.38,1,16.9979,43,1,1,2011,2,3
6.56,1,19.9995,50,1,2,2011,2,5
6.56,1,23.9994,43,1,39,2011,2,6
5.74,1,22.0028,50,1,87,2011,2,7
5.74,1,23.9994,50,1,188,2011,2,8
6.56,1,19.9995,47,1,133,2011,2,9
7.38,1,22.0028,43,1,52,2011,2,10
7.38,1,30.0026,43,1,64,2011,2,11
8.2,1,23.9994,40,1,69,2011,2,12
8.2,1,27.9993,40,1,51,2011,2,13
9.02,1,26.0027,37,1,47,2011,2,14
9.02,1,22.0028,37,1,60,2011,2,15
9.02,1,16.9979,37,1,78,2011,2,16
8.2,1,12.998,40,1,175,2011,2,17
8.2,1,11.0014,40,1,147,2011,2,18
8.2,1,8.9981,40,1,96,2011,2,19
8.2,1,6.0032,47,1,109,2011,2,20
7.38,1,7.0015,55,1,54,2011,2,21
7.38,1,6.0032,51,1,41,2011,2,22
8.2,1,7.0015,47,1,38,2011,2,23
8.2,2,8.9981,44,1,13,2011,2,0
6.56,2,8.9981,59,1,7,2011,2,1
5.74,2,7.0015,63,1,1,2011,2,2
5.74,2,7.0015,63,1,1,2011,2,3
5.74,2,8.9981,63,1,7,2011,2,5
6.56,2,8.9981,55,1,28,2011,2,6
5.74,1,8.9981,59,1,87,2011,2,7
5.74,1,8.9981,74,1,220,2011,2,8
6.56,2,8.9981,80,1,127,2011,2,9
8.2,2,8.9981,51,1,51,2011,2,10
9.02,1,11.0014,51,1,64,2011,2,11
9.84,2,11.0014,48,1,86,2011,2,12
10.66,2,15.0013,50,1,82,2011,2,13
11.48,2,11.0014,45,1,91,2011,2,14
11.48,2,16.9979,48,1,90,2011,2,15
12.3,2,15.0013,42,1,99,2011,2,16
10.66,2,8.9981,56,1,205,2011,2,17
9.84,2,7.0015,60,1,155,2011,2,18
9.84,2,8.9981,65,1,103,2011,2,19
9.84,2,11.0014,65,1,71,2011,2,20
9.84,2,11.0014,70,1,43,2011,2,21
9.84,2,11.0014,65,1,46,2011,2,22
9.84,2,8.9981,70,1,31,2011,2,23
9.84,2,11.0014,70,1,39,2011,2,0
9.84,2,11.0014,65,1,18,2011,2,1
9.84,2,11.0014,75,1,17,2011,2,2
9.84,2,11.0014,75,1,11,2011,2,3
9.02,3,8.9981,93,1,8,2011,2,4
8.2,3,6.0032,100,1,9,2011,2,5
8.2,3,8.9981,100,1,4,2011,2,6
9.02,3,6.0032,93,1,4,2011,2,7
8.2,3,6.0032,100,1,10,2011,2,8
8.2,3,6.0032,100,1,20,2011,2,9
8.2,3,8.9981,100,1,34,2011,2,10
9.02,3,8.9981,100,1,47,2011,2,11
9.02,3,11.0014,100,1,52,2011,2,12
9.02,3,11.0014,100,1,72,2011,2,13
9.02,3,8.9981,100,1,55,2011,2,14
9.02,3,8.9981,100,1,60,2011,2,15
9.02,3,8.9981,100,1,71,2011,2,16
9.84,2,19.0012,100,1,78,2011,2,17
11.48,2,30.0026,93,1,83,2011,2,18
11.48,2,30.0026,93,1,84,2011,2,19
12.3,1,16.9979,87,1,69,2011,2,20
10.66,1,12.998,100,1,56,2011,2,21
10.66,1,8.9981,93,1,45,2011,2,22
10.66,1,15.0013,93,1,59,2011,2,23
10.66,1,12.998,70,1,39,2011,2,0
10.66,1,27.9993,65,1,44,2011,2,1
10.66,1,22.0028,60,1,20,2011,2,2
10.66,1,6.0032,60,1,13,2011,2,3
10.66,1,23.9994,60,1,2,2011,2,4
10.66,1,15.0013,60,1,1,2011,2,5
10.66,1,15.0013,60,1,1,2011,2,6
9.84,1,11.0014,65,1,8,2011,2,7
9.84,1,7.0015,65,1,23,2011,2,8
11.48,1,7.0015,56,1,45,2011,2,9
12.3,1,16.9979,52,1,89,2011,2,10
13.12,1,16.9979,49,1,117,2011,2,11
13.94,1,8.9981,46,1,174,2011,2,12
13.94,1,8.9981,46,1,182,2011,2,13
13.94,1,6.0032,46,1,161,2011,2,14
13.94,1,6.0032,46,1,182,2011,2,15
13.94,1,7.0015,49,1,157,2011,2,16
13.94,1,8.9981,46,1,121,2011,2,17
12.3,1,11.0014,56,1,78,2011,2,18
11.48,1,8.9981,61,1,21,2011,2,19
11.48,1,7.0015,61,1,26,2011,2,20
10.66,1,8.9981,60,1,27,2011,2,21
10.66,1,8.9981,60,1,62,2011,2,22
9.84,1,8.9981,65,1,30,2011,2,23
9.84,1,8.9981,65,1,15,2011,2,0
9.02,1,8.9981,75,1,5,2011,2,1
8.2,1,8.9981,80,1,3,2011,2,2
8.2,1,8.9981,86,1,1,2011,2,3
8.2,1,8.9981,86,1,2,2011,2,4
8.2,1,8.9981,86,1,10,2011,2,5
7.38,1,8.9981,93,1,30,2011,2,6
7.38,1,8.9981,86,1,95,2011,2,7
6.56,2,8.9981,100,1,230,2011,2,8
9.02,1,8.9981,80,1,118,2011,2,9
9.84,1,7.0015,75,1,55,2011,2,10
